品名,section,備考,備考_links,出し方
CDチェンジャー,し,事前予約制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
CDプレーヤー,し,事前予約制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
CDラジカセ,し,事前予約制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
シェーバー（ひげそり）,し,金属製のものは小物金属 回収ボックス へ 電気シェーバーは小型電子機器回収 回収ボックス へ,"['/contents/00800208.html', '/contents/00800208.html']",家庭ごみ
磁石,し,鉄製は小物金属 回収ボックス へ,['/contents/00800208.html'],家庭ごみ
辞書,し,古紙 回収ボックス へ,['/contents/00800208.html'],古紙
七輪,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
湿気取りの容器（使い捨て）,し,,,プラスチック
室内物干し,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
自転車,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
自動車,し,（注）販売店に相談,,市が収集しないもの
芝刈り機,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
シャープペンシル,し,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
シャープペンシルの芯のケース,し,,,プラスチック
写真,し,,,家庭ごみ
写真フィルムのケース,し,,,プラスチック
ジャッキ,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
シャベル（ショベル）,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
ジャングルジム（子供用遊具）,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
シャンデリア,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
シャンプー詰替用袋,し,,,プラスチック
シャンプー容器,し,,,プラスチック
週刊誌,し,古紙 回収ボックス へ,['/contents/00800208.html'],古紙
ジューサー,し,,,家庭ごみ
じゅうたん,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
充電式電池,し,電池類 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/01100026.html'],電池類
収納箱（衣装ケース）,し,事前予約制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/924_10259.html'],粗大ごみ
シューズボックス,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
ジュニアシート,し,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
シュレッダー（家庭用）,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
シュレッダー処理後の紙,し,古紙 回収ボックス へ 散らばらないように袋に入れて,['/contents/00800208.html'],古紙
瞬間湯沸し器,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
消火器,し,（注）販売店または株式会社消火器リサイクル推進センター：03-5829-6773（祝日を除く月曜日から金曜日9時から12時、13時から17時）に相談,,市が収集しないもの
定規（じょうぎ）,し,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
将棋盤,し,,,家庭ごみ
障子,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
浄水器,し,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
照明器具,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
じょうろ,し,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
食品用トレイ,し,,,プラスチック
食用油,し,布や紙にしみこませるか固形化してから家庭ごみへ できるだけペットボトルに入れて、スーパーなどの回収ボックスへ （注）詳細は、 使用済み食用油の回収について をご覧下さい。,['http://www.city.kitakyushu.lg.jp/kankyou/file_0046.html'],家庭ごみ
食用油のかん・びん,し,油をよく落として,,かん・びん
食用油の容器（プラ製）,し,中身を使い切って,,プラスチック
食用油の容器のふた（金属製）,し,小物金属 回収ボックス へ 油は紙等でふきとって,['/contents/00800208.html'],小物金属
食用油の容器のふた（プラ製）,し,,,プラスチック
除湿器,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
除湿剤の容器,し,,,プラスチック
食器類,し,新聞紙などで包んで 割れてしまったものも含む プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
食器（洗い）乾燥機,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
食器棚,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
ショッピングカー,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
シルバーカー,し,事前予約制,['/contents/924_10259.html'],粗大ごみ
人工芝,し,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
新聞紙,し,古紙 回収ボックス へ,['/contents/00800208.html'],古紙
水銀体温計・水銀血圧計・水銀体温計,す,水銀体温計 回収ボックス へ 壊れたものは、硬い紙などで直接触れないようすべて集め、ポリ袋に入れ、家庭ごみで出してください,['/contents/00800208.html'],区役所または出張所の回収ボックスへ
水槽,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
水筒,す,金属製のものは小物金属 回収ボックス へ,['/contents/00800208.html'],家庭ごみ
炊飯器,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
スーツケース（キャリーバッグ）,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
姿見,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
スキャナー,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
スキー靴,す,,,家庭ごみ
スキーセット （スキー板とストック）,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
スクリーン,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
スケート靴,す,,,家庭ごみ
スケートボード,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
スコップ,す,金属製の長さが30センチ未満のものは、小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック それ以外は、家庭ごみ 指定袋に入らない大きさのものは粗大ごみ,['/contents/00800208.html'],小物金属
すだれ,す,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
スタンドミラー（姿見）,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
スチールかん（飲料・食品用）,す,,,かん・びん
スチール棚,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
ステップマシーン,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
ステレオセット,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
ステレオラック,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
ストーブ,す,灯油は抜いて 事前申込制,['/contents/924_10259.html'],粗大ごみ
ストーブガード,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
ストロー,す,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
砂（鉢植えなどから出た少量のもの）,す,,,家庭ごみ
砂（多量のもの）,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
スナック菓子などの袋,す,,,プラスチック
スノーボード,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
すのこ,す,事前申込制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/924_10259.html'],粗大ごみ
スピーカー,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
スプーン,す,小物金属 回収ボックス へ 金属製以外のものは家庭ごみ,['/contents/00800208.html'],小物金属
スプリングマットレス,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
スプレー缶,す,必ず使い切ってから、穴をあけないで,,家庭ごみ
スプレー缶のキャップ（プラ製）,す,,,プラスチック
すべり台（子供用遊具）,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
スポンジ,す,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ズボンプレッサー,す,事前申込制,['/contents/924_10259.html'],粗大ごみ
炭,す,,,家庭ごみ
すり鉢,す,新聞紙などに包んで プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
生理用品,せ,,,家庭ごみ
石けん箱,せ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
せともの類,せ,新聞紙などに包んで,,家庭ごみ
セロハン,せ,,,家庭ごみ
洗剤（漂白剤など）,せ,液体のものは布か紙にしみこませて,,家庭ごみ
洗剤の計量カップ・スプーン,せ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
洗剤容器（紙製）,せ,中身を使い切って,,家庭ごみ
洗剤容器（プラ製）,せ,中身を使い切って,,プラスチック
洗浄機能付き便座,せ,事前申込制,['/contents/924_10259.html'],粗大ごみ
洗濯機（乾燥機付きのものを含む）,せ,（注）販売店などに引き取りを依頼,,市が収集しないもの
洗濯機棚,せ,事前申込制,['/contents/924_10259.html'],粗大ごみ
洗濯ハンガー,せ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
剪定枝（せんていし）,せ,（参考） 「緑のリサイクル」 のページ,['/contents/924_10229.html'],家庭ごみ
剪定ばさみ,せ,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
栓抜き,せ,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
扇風機,せ,事前申込制,['/contents/924_10259.html'],粗大ごみ
せんべいの袋（プラ製）,せ,,,プラスチック
洗面器,せ,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
洗面化粧台,せ,事前申込制,['/contents/924_10259.html'],粗大ごみ
掃除機,そ,事前申込制,['/contents/924_10259.html'],粗大ごみ
惣菜の容器（プラ製）,そ,,,プラスチック
即席めんの袋（プラ製）,そ,,,プラスチック
ソファー,そ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ソファーベッド,そ,事前申込制,['/contents/924_10259.html'],粗大ごみ
カーオーディオ,か,事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
カーテンレール,か,事前申込制,['/contents/924_10259.html'],粗大ごみ
カーナビ,か,事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
カーペット,か,事前申込制,['/contents/924_10259.html'],粗大ごみ
カーペットローラー,か,,,家庭ごみ
カーボン紙,か,,,家庭ごみ
懐中電灯,か,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,['/contents/00800208.html'],家庭ごみ
回転ハンバー,か,事前申込制,['/contents/924_10259.html'],粗大ごみ
買物カート（ショッピングカー、シルバーカー）,か,事前申込制,['/contents/924_10259.html'],粗大ごみ
買物かご,か,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
カイロ（使い捨て）,か,,,家庭ごみ
鏡,か,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
鍵,か,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
かき氷機,か,,,家庭ごみ
額縁,か,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
かご,か,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
傘,か,折りたたみ傘は小物金属 回収ボックス へ,['/contents/00800208.html'],家庭ごみ
傘立て,か,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
加湿器,か,事前申込制,['/contents/924_10259.html'],粗大ごみ
菓子箱の中仕切り（プラ製）,か,,,プラスチック
菓子箱（紙製）,か,古紙 回収ボックス へ,['/contents/00800208.html'],古紙
菓子のかん,か,,,かん・びん
菓子袋（プラ製）,か,,,プラスチック
ガスオーブン,か,事前申込制,['/contents/924_10259.html'],粗大ごみ
ガスストーブ,か,事前申込制,['/contents/924_10259.html'],粗大ごみ
ガス台（ガステーブル・ガスレンジ）,か,事前申込制,['/contents/924_10259.html'],粗大ごみ
ガスレンジ,か,事前申込制,['/contents/924_10259.html'],粗大ごみ
ガスレンジマット（アルミはく製）,か,,,家庭ごみ
ガスボンベ（カセットボンベ以外）,か,（注）販売店に相談　（参考）「 市が収集しないもの 」,['https://www.city.kitakyushu.lg.jp/kankyou/file_0015.html'],市が収集しないもの
カセットコンロ（卓上コンロ）,か,小物金属 回収ボックス へ カセットボンベは中身を使い切ってから穴をあけずに家庭ごみへ 中身の残っているものは「 市が収集しないもの 」参照）,"['/contents/00800208.html', 'https://www.city.kitakyushu.lg.jp/kankyou/file_0015.html']",小物金属
カセットボンベ,か,必ず中身を使い切ってから穴をあけずに （中身の残っているものは本ホームページ「 市が収集しないもの 」参照）,['https://www.city.kitakyushu.lg.jp/kankyou/file_0015.html'],家庭ごみ
カセットテープ（ケースを含む）,か,,,家庭ごみ
カセット式テープレコーダー,か,事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
カセットデッキ,か,事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
ガソリン,か,（注）専門の処理業者に依頼,,市が収集しないもの
カタログ（パンフレット）,か,古紙 回収ボックス へ,['/contents/00800208.html'],古紙
カッター（刃を含む）,か,新聞紙などに包んで,,家庭ごみ
カッパ（雨具）,か,,,家庭ごみ
カップめんなどのスープやかやくの袋,か,,,プラスチック
カップめんなどのふた（紙製）,か,,,家庭ごみ
カップめんなどのふた（プラ製）,か,,,プラスチック
カップめんなどの容器・フィルム,か,紙製の容器は家庭ごみ,,プラスチック
金づち（とんかち）,か,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
加熱式たばこ,か,電池類 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/01100026.html'],電池類
かばん,か,,,家庭ごみ
画板,か,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
画びょう,か,小物金属 回収ボックス へ 透明のビニール袋に入れて,['/contents/00800208.html'],小物金属
花びん,か,新聞紙などに包んで プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
釜,か,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
鎌,か,新聞紙などに包んで,,家庭ごみ
紙おむつ,か,汚物を取り除いて,,家庭ごみ
紙コップ,か,,,家庭ごみ
紙皿,か,,,家庭ごみ
かみそり,か,新聞紙などに包んで,,家庭ごみ
紙パック（飲料用）,か,紙パック 回収ボックス へ 内側がアルミのものは、家庭ごみ,['/contents/00800208.html'],紙パック
紙袋,か,紙は、古紙 回収ボックス へ 紙以外のものは除いて、家庭ごみへ,['/contents/00800208.html'],古紙
紙やすり,か,,,家庭ごみ
カメラ,か,デジタルカメラや小型のもの（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,['/contents/00800208.html'],家庭ごみ
カメラのケース,か,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
カメラのレンズ,か,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
カラーボックス,か,事前申込制,['/contents/924_10259.html'],粗大ごみ
カラオケセット,か,事前申込制,['/contents/924_10259.html'],粗大ごみ
からしのチューブ（ふたを含む）,か,中身を使い切って,,プラスチック
ガラス,か,新聞紙などに包んで 指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
ガラス製品（コップ、皿など）,か,新聞紙などに包んで,,家庭ごみ
カレンダー（紙製）,か,古紙 回収ボックス へ 金具は外して,['/contents/00800208.html'],古紙
革製品,か,,,家庭ごみ
皮むき器,か,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
瓦,か,事前申込制,['/contents/924_10259.html'],粗大ごみ
かん（飲料・食料用）,か,,,かん・びん
かん（飲料・食料用以外）,か,,,家庭ごみ
かん（食用油かん）,か,油をよく落として,,かん・びん
かん（ペットフードかん）,か,油と汚れをよく落として,,かん・びん
かん（一斗缶）,か,中身を使い切って,,家庭ごみ
かんのふた（金属製）,か,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
換気扇,か,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
缶切り,か,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
緩衝材（プラ製）,か,,,プラスチック
乾燥機（食器用、布団用）,か,事前申込制 衣類乾燥機（ドラム式）は販売店などに引き取りを依頼,['/contents/924_10259.html'],粗大ごみ
乾燥剤,か,,,家庭ごみ
乾電池（充電式でないもの）,か,電池類 回収ボックス へ 必ず、絶縁ビニールテープ等で電極部分を絶縁して、家庭ごみにも出せる。 充電式・ボタン型電池は、別記,['https://www.city.kitakyushu.lg.jp/kankyou/01100026.html'],電池類
感熱紙,か,,,家庭ごみ
キーボード（楽器）,き,事前申込制 （注）ピアノは専門の処理業者に相談,['/contents/924_10259.html'],粗大ごみ
キーホルダー,き,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
ギター,き,事前申込制,['/contents/924_10259.html'],粗大ごみ
キッチンストッカー,き,事前申込制,['/contents/924_10259.html'],粗大ごみ
キッチンバサミ,き,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
木の枝・幹,き,（参考）「 緑のリサイクル 」,['https://www.city.kitakyushu.lg.jp/kankyou/file_0043.html'],家庭ごみ
着物,き,,,家庭ごみ
脚立,き,事前申込制,['/contents/924_10259.html'],粗大ごみ
キャップ・ふた（金属製）,き,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
キャップ・ふた（プラ製）,き,,,プラスチック
キャリア（車の上に取り付けるもの）,き,事前申込制,['/contents/924_10259.html'],粗大ごみ
急須,き,金属製のものは小物金属 回収ボックス へ,['/contents/00800208.html'],家庭ごみ
給湯器,き,事前申込制,['/contents/924_10259.html'],粗大ごみ
牛乳パック,き,紙パック 回収ボックス へ,['/contents/00800208.html'],紙パック
給油ポンプ,き,,,家庭ごみ
鏡台,き,事前申込制,['/contents/924_10259.html'],粗大ごみ
銀紙,き,,,家庭ごみ
金魚ばち,き,新聞紙などに包んで プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
金庫,き,（注）専門の処理業者に依頼,,市が収集しないもの
金庫（手さげ金庫）,き,事前申込制,['/contents/924_10259.html'],粗大ごみ
空気入れ,く,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
空気清浄器,く,事前申込制,['/contents/924_10259.html'],粗大ごみ
クーラーボックス,く,事前申込制,['/contents/924_10259.html'],粗大ごみ
くぎ,く,透明のビニール袋に入れて　小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
草,く,,,家庭ごみ
草刈り機,く,事前申込制,['/contents/924_10259.html'],粗大ごみ
くさり,く,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
櫛（くし）,く,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
串,く,金属製のものは小物金属 回収ボックス へ,['/contents/00800208.html'],家庭ごみ
薬（家庭用医薬品）,く,,,家庭ごみ
薬（錠剤・カプセル）の包装シート,く,,,プラスチック
薬の容器・小袋（プラ製）,く,,,プラスチック
薬（のみ薬）のびん,く,,,かん・びん
果物などのネット,く,,,プラスチック
靴（くつ）,く,,,家庭ごみ
クリーニングのビニール袋,く,,,プラスチック
クリップ,く,透明のビニール袋に入れて　小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
クリアファイル,く,,,プラスチック
車いす（電動式を除く）,く,事前申込制,['/contents/924_10259.html'],粗大ごみ
車いす（電動式）,く,（注）販売店に相談,,市が収集しないもの
グロー球,く,,,家庭ごみ
グローブ（野球用など）,く,,,家庭ごみ
鍬（くわ）,く,事前申込制 小型のものは家庭ごみ,['/contents/924_10259.html'],粗大ごみ
くん煙剤,く,未使用の場合 水を入れるものは水がかからないように包んで 火をつけるものは水に浸して,,家庭ごみ
蛍光管（環型、直型）,け,蛍光管 回収ボックス へ 割れたものは家庭ごみ LED蛍光灯は家庭ごみ,['/contents/00800208.html'],蛍光管回収ボックス
蛍光灯（電球型）,け,,,家庭ごみ
携帯電話（スマートフォン・ガラホ含む）,け,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,['/contents/00800208.html'],小型電子機器
計量カップ,け,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
計量スプーン,け,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
ケーキ型,け,小物金属 回収ボックス へ、金属製以外のものは家庭ごみ,['/contents/00800208.html'],小物金属
ケーブル,け,小型電子機器 回収ボックス へ,['/contents/00800208.html'],小型電子機器
ゲーム機,け,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,['/contents/00800208.html'],家庭ごみ
ゲームソフト,け,,,家庭ごみ
化粧品のびん,け,,,かん・びん
化粧品のびんのふた（プラ製）,け,,,プラスチック
げた箱,け,,,粗大ごみ
ケチャップのチューブ（ふたを含む）,け,中身を使い切って,,プラスチック
血圧計（水銀血圧計を除く）,け,電子式で小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ 水銀血圧計は、水銀血圧計 回収ボックス へ,"['/contents/00800208.html', '/contents/00800208.html']",家庭ごみ
毛抜き,け,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
剣山,け,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
工具箱（金属製）,こ,小物金属 回収ボックス へ　金属製以外のものは家庭ごみ,['/contents/00800208.html'],小物金属
広告・チラシ,こ,古紙 回収ボックス へ,['/contents/00800208.html'],古紙
香水のびん,こ,,,家庭ごみ
コート掛け,こ,事前申込制,['/contents/924_10259.html'],粗大ごみ
コード類,こ,小型電子機器 回収ボックス へ,['/contents/00800208.html'],小型電子機器
コードリール,こ,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,['/contents/00800208.html'],家庭ごみ
コーヒーミル,こ,,,家庭ごみ
コーヒーメーカー,こ,,,家庭ごみ
固形燃料,こ,,,家庭ごみ
ござ,こ,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
こたつ（こたつ板を含む）,こ,事前申込制,['/contents/924_10259.html'],粗大ごみ
こたつ布団,こ,事前申込制,['/contents/924_10259.html'],粗大ごみ
コップ型のびん（日本酒など）,こ,,,かん・びん
コップ,こ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
琴,こ,事前申込制,['/contents/924_10259.html'],粗大ごみ
子供用遊具,こ,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
粉ふるい器,こ,小物金属 回収ボックス へ、金属製以外のものは家庭ごみ,['/contents/00800208.html'],小物金属
碁盤,こ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
コピー機,こ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ごみ箱,こ,指定袋に入らない大きさのものは粗大ごみ 金属製のものは小物金属 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ゴム類（手袋、長靴等）,こ,,,家庭ごみ
ゴムボート,こ,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
ゴムマット,こ,,,家庭ごみ
米びつ（ハイザー）,こ,事前申込制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/924_10259.html'],粗大ごみ
米袋（紙製）,こ,,,家庭ごみ
米袋（プラ製）,こ,,,プラスチック
コルク抜き,こ,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
ゴルフクラブ,こ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ゴルフバッグ,こ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ゴルフセット,こ,事前申込制,['/contents/924_10259.html'],粗大ごみ
コンタクトレンズのケース,こ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
コンパス,こ,小物金属 回収ボックス へ　　金属製以外のものは家庭ごみ,['/contents/00800208.html'],小物金属
コンビニ弁当の容器,こ,,,プラスチック
コンポスト化容器,こ,事前申込制,['/contents/924_10259.html'],粗大ごみ
コンロ（卓上式）,こ,小物金属 回収ボックス へ カセットボンベは中身を使い切ってから穴をあけずに家庭ごみへ（中身の残っているものは「 市が収集しないもの 」参照）,"['/contents/00800208.html', 'https://www.city.kitakyushu.lg.jp/kankyou/file_0015.html']",小物金属
コンロ（卓上式以外）,こ,事前申込制,['/contents/924_10259.html'],粗大ごみ
